 ESQUISTOSSOMOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Minas Gerais
Casos confirmados por Município de Infecção          e Mês 1º Sintoma(s)
Período:2020
"Município de Infecção         ";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"316935 TRES MARIAS";-;2;-;2;-;-;1;1;-;-;-;-;6
"317000 UBAI";-;2;1;2;1;-;2;-;-;1;2;3;14
"317005 UBAPORANGA";-;-;-;-;-;-;-;-;-;-;-;1;1
"317050 URUCANIA";-;-;-;-;-;-;1;-;-;-;-;-;1
"317130 VICOSA";-;1;-;-;-;-;-;-;-;-;-;-;1
"Total";83;74;69;61;48;59;74;84;92;88;87;103;922
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para tabular dados epidemiológicos de um determinado ano selecione na linha a variável de interesse, na Coluna Ano dos 1ºs sintomas;
   em Períodos Disponíveis assinale o ano inicial da série e todos os posteriores até o ano atual (p/ incluir casos notificados com atraso)
   e em Seleções Disponíveis assinale os anos dos 1ºs sintomas (ex: nº de casos com início de sintomas 2007: selecione na linha UF de residência,
    na Coluna Ano de 1ºs sintomas, em Períodos disponíveis 2007 até o ano atual e em Seleções assinale Ano de 1ºs sintomas 2007). 3. Dados referentes
    à vigilância passiva em áreas não endêmicas. Ver também dados da busca ativa de casos enviados ao Programa de Controle de Esquistossomose/SVS/MS
   no site http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/pce/cnv/pce.def
 Dados a partir 2020 do Espírito Santo não estão disponíveis neste sistema, pois são oriundos do Sistema de Informação e-SUS VS,
   em uso pelo estado desde janeiro de 2020.
 Dados de 2007 e 2008 atualizados em 02/07/2012.
 Dados de 2009 atualizados em 27/12/2012.
 Dados de 2010 atualizados em 04/11/2013.
 Dados de 2011 atualizados em 29/08/2014.
 Dados de 2012 atualizados em 01/06/2015.
 Dados de 2013 atualizados em 18/12/2017.
 Dados de 2014 atualizados em 17/12/2018.
 Dados de 2015 atualizados em 26/11/2018.
 Dados de 2016 atualizados em 16/09/2019.
 Dados de 2017 atualizados em 24/04/2020.
 Dados de 2018 e 2019 atualizados em 22/08/2022.
 Dados de 2020 a 2023 atualizados em 26/05/2023, dados sujeitos à revisão.
 *Dados disponibilizados no TABNET em Junho 2023.
 
